tenure,MonthlyCharges,TotalCharges,Contract,InternetService,PaymentMethod,Churn_Probability,Risk_Category,Retention_Recommendation
2,70.7,151.65,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
8,99.65,820.5,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
2,95.5,181.65,Month-to-month,Fiber optic,Credit card (automatic),0.8563406587077654,High Risk,Offer contract upgrade or retention discount
5,69.7,316.9,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
11,97.85,1105.4,Month-to-month,Fiber optic,Bank transfer (automatic),0.8563406587077654,High Risk,Offer contract upgrade or retention discount
2,80.65,144.15,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
15,99.1,1426.4,Month-to-month,Fiber optic,Credit card (automatic),0.8563406587077654,High Risk,Offer contract upgrade or retention discount
8,80.65,633.3,Month-to-month,Fiber optic,Credit card (automatic),0.8563406587077654,High Risk,Offer contract upgrade or retention discount
9,94.4,857.25,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
10,79.85,887.35,Month-to-month,Fiber optic,Mailed check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
1,79.35,79.35,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
7,75.15,496.9,Month-to-month,Fiber optic,Bank transfer (automatic),0.8563406587077654,High Risk,Offer contract upgrade or retention discount
9,99.3,918.75,Month-to-month,Fiber optic,Credit card (automatic),0.8563406587077654,High Risk,Offer contract upgrade or retention discount
1,74.7,74.7,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
12,78.95,927.35,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
3,89.85,248.4,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
10,100.25,1064.65,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
3,74.4,229.55,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
13,85.95,1215.65,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
1,70.45,70.45,Month-to-month,Fiber optic,Mailed check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
7,95.0,655.5,Month-to-month,Fiber optic,Mailed check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
14,80.9,1152.8,Month-to-month,Fiber optic,Bank transfer (automatic),0.8563406587077654,High Risk,Offer contract upgrade or retention discount
2,69.7,135.2,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
4,70.9,273.0,Month-to-month,Fiber optic,Bank transfer (automatic),0.8563406587077654,High Risk,Offer contract upgrade or retention discount
2,104.4,242.8,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
15,74.45,1145.7,Month-to-month,Fiber optic,Mailed check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
7,76.45,503.6,Month-to-month,Fiber optic,Bank transfer (automatic),0.8563406587077654,High Risk,Offer contract upgrade or retention discount
15,105.35,1559.25,Month-to-month,Fiber optic,Bank transfer (automatic),0.8563406587077654,High Risk,Offer contract upgrade or retention discount
8,84.5,662.65,Month-to-month,Fiber optic,Bank transfer (automatic),0.8563406587077654,High Risk,Offer contract upgrade or retention discount
13,79.25,1111.65,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
6,91.0,531.0,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
14,80.05,1112.3,Month-to-month,Fiber optic,Credit card (automatic),0.8563406587077654,High Risk,Offer contract upgrade or retention discount
13,78.3,1033.95,Month-to-month,Fiber optic,Credit card (automatic),0.8563406587077654,High Risk,Offer contract upgrade or retention discount
1,79.9,79.9,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
8,80.0,624.6,Month-to-month,Fiber optic,Bank transfer (automatic),0.8563406587077654,High Risk,Offer contract upgrade or retention discount
4,70.15,268.35,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
1,84.6,84.6,Month-to-month,Fiber optic,Mailed check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
11,95.0,1120.3,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
4,75.35,273.4,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
15,74.4,1074.3,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
2,70.4,147.15,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
13,106.9,1364.3,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
16,94.45,1511.2,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
1,70.6,70.6,Month-to-month,Fiber optic,Mailed check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
5,85.4,401.1,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
1,70.0,70.0,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
8,74.5,606.55,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
6,89.35,567.8,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
1,73.6,73.6,Month-to-month,Fiber optic,Mailed check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
4,95.45,396.1,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
4,90.4,356.65,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
5,69.35,341.6,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
5,80.6,415.55,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
11,82.9,880.05,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
2,70.35,139.05,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
17,82.65,1470.05,Month-to-month,Fiber optic,Credit card (automatic),0.8563406587077654,High Risk,Offer contract upgrade or retention discount
7,73.85,511.25,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
2,80.6,155.8,Month-to-month,Fiber optic,Mailed check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
1,72.1,72.1,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
2,90.4,168.2,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
7,89.15,574.35,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
4,84.8,371.9,Month-to-month,Fiber optic,Bank transfer (automatic),0.8563406587077654,High Risk,Offer contract upgrade or retention discount
10,80.25,846.0,Month-to-month,Fiber optic,Bank transfer (automatic),0.8563406587077654,High Risk,Offer contract upgrade or retention discount
5,96.5,492.55,Month-to-month,Fiber optic,Bank transfer (automatic),0.8563406587077654,High Risk,Offer contract upgrade or retention discount
2,85.65,181.5,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
1,90.85,90.85,Month-to-month,Fiber optic,Credit card (automatic),0.8563406587077654,High Risk,Offer contract upgrade or retention discount
3,81.35,233.7,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
16,73.25,1195.75,Month-to-month,Fiber optic,Bank transfer (automatic),0.8563406587077654,High Risk,Offer contract upgrade or retention discount
1,75.3,75.3,Month-to-month,Fiber optic,Bank transfer (automatic),0.8563406587077654,High Risk,Offer contract upgrade or retention discount
7,69.85,515.45,Month-to-month,Fiber optic,Bank transfer (automatic),0.8563406587077654,High Risk,Offer contract upgrade or retention discount
10,85.95,858.6,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
16,112.95,1882.55,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
1,69.55,69.55,Month-to-month,Fiber optic,Mailed check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
8,94.75,759.55,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
1,75.1,75.1,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
4,101.15,385.9,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
7,99.8,673.25,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
1,74.7,74.7,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
5,96.1,453.4,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
15,69.0,994.8,Month-to-month,Fiber optic,Bank transfer (automatic),0.8563406587077654,High Risk,Offer contract upgrade or retention discount
8,83.55,680.05,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
15,100.15,1415.0,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
1,74.35,74.35,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
2,74.4,139.4,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
12,99.7,1238.45,Month-to-month,Fiber optic,Bank transfer (automatic),0.8563406587077654,High Risk,Offer contract upgrade or retention discount
11,78.0,851.8,Month-to-month,Fiber optic,Mailed check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
2,94.2,167.5,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
6,80.5,502.85,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
5,74.35,334.8,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
5,70.05,302.6,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
2,79.95,174.45,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
1,85.0,85.0,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
12,89.55,1021.75,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
10,86.05,834.1,Month-to-month,Fiber optic,Bank transfer (automatic),0.8563406587077654,High Risk,Offer contract upgrade or retention discount
11,70.2,760.05,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
9,70.5,597.9,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
1,75.3,75.3,Month-to-month,Fiber optic,Mailed check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
4,89.2,346.2,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
1,85.7,85.7,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
16,74.55,1170.5,Month-to-month,Fiber optic,Credit card (automatic),0.8563406587077654,High Risk,Offer contract upgrade or retention discount
7,78.55,522.95,Month-to-month,Fiber optic,Bank transfer (automatic),0.8563406587077654,High Risk,Offer contract upgrade or retention discount
10,85.25,855.3,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
1,89.55,89.55,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
2,89.5,161.5,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
3,69.55,222.3,Month-to-month,Fiber optic,Bank transfer (automatic),0.8563406587077654,High Risk,Offer contract upgrade or retention discount
1,74.6,74.6,Month-to-month,Fiber optic,Mailed check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
10,95.1,865.1,Month-to-month,Fiber optic,Credit card (automatic),0.8563406587077654,High Risk,Offer contract upgrade or retention discount
3,74.75,238.1,Month-to-month,Fiber optic,Mailed check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
2,69.65,145.15,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
1,75.05,75.05,Month-to-month,Fiber optic,Mailed check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
3,107.95,313.6,Month-to-month,Fiber optic,Mailed check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
1,80.0,80.0,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
1,71.1,71.1,Month-to-month,Fiber optic,Mailed check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
3,75.1,270.7,Month-to-month,Fiber optic,Credit card (automatic),0.8563406587077654,High Risk,Offer contract upgrade or retention discount
14,86.0,1164.05,Month-to-month,Fiber optic,Mailed check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
4,85.95,381.3,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
5,80.85,356.1,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
2,80.45,137.1,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
10,98.55,1008.55,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
3,75.05,202.9,Month-to-month,Fiber optic,Mailed check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
2,90.35,190.5,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
15,85.9,1269.55,Month-to-month,Fiber optic,Bank transfer (automatic),0.8563406587077654,High Risk,Offer contract upgrade or retention discount
3,70.3,208.85,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
15,93.35,1444.65,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
5,88.9,454.15,Month-to-month,Fiber optic,Mailed check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
2,82.0,184.65,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
10,98.5,1058.25,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
6,85.35,489.45,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
1,69.55,69.55,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
2,86.2,178.7,Month-to-month,Fiber optic,Mailed check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
16,89.45,1430.25,Month-to-month,Fiber optic,Credit card (automatic),0.8563406587077654,High Risk,Offer contract upgrade or retention discount
7,95.6,644.35,Month-to-month,Fiber optic,Bank transfer (automatic),0.8563406587077654,High Risk,Offer contract upgrade or retention discount
4,78.85,292.8,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
1,89.9,89.9,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
3,95.1,307.4,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
4,80.6,319.15,Month-to-month,Fiber optic,Mailed check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
15,105.1,1582.75,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
10,110.1,1043.3,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
6,83.9,497.55,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
7,84.35,609.65,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
12,98.9,1120.95,Month-to-month,Fiber optic,Bank transfer (automatic),0.8563406587077654,High Risk,Offer contract upgrade or retention discount
9,98.3,923.5,Month-to-month,Fiber optic,Credit card (automatic),0.8563406587077654,High Risk,Offer contract upgrade or retention discount
17,93.85,1625.65,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
9,100.5,918.6,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
10,72.85,688.65,Month-to-month,Fiber optic,Electronic check,0.8563406587077654,High Risk,Offer contract upgrade or retention discount
