customerID,tenure,MonthlyCharges,TotalCharges,Contract,InternetService,PaymentMethod,Churn_Probability,Risk_Category
0871-URUWO,13,102.25,1359.0,Month-to-month,Fiber optic,Credit card (automatic),0.8583645594769914,High Risk
9402-ORRAH,15,91.5,1400.3,Month-to-month,Fiber optic,Electronic check,0.8955584685038012,High Risk
2038-OEQZH,4,86.05,308.1,Month-to-month,Fiber optic,Electronic check,0.8380138955603351,High Risk
7993-PYKOF,8,75.0,632.95,Month-to-month,Fiber optic,Electronic check,0.7148997706069526,High Risk
5482-VXSXJ,22,93.2,2157.3,Month-to-month,Fiber optic,Mailed check,0.769550466156538,High Risk
9497-QCMMS,1,93.55,93.55,Month-to-month,Fiber optic,Electronic check,0.9360862969382,High Risk
1902-XBTFB,22,89.4,2001.5,Month-to-month,Fiber optic,Electronic check,0.7351734061651033,High Risk
1751-NCDLI,46,98.85,4564.9,Month-to-month,Fiber optic,Electronic check,0.8224062400638714,High Risk
7394-LWLYN,2,70.15,123.8,Month-to-month,Fiber optic,Electronic check,0.8510164832476494,High Risk
4229-CZMLL,6,74.9,469.8,Month-to-month,Fiber optic,Electronic check,0.8551822211990541,High Risk
0488-GSLFR,1,69.5,69.5,Month-to-month,Fiber optic,Electronic check,0.8557072971443094,High Risk
2823-LKABH,18,95.05,1679.4,Month-to-month,Fiber optic,Bank transfer (automatic),0.7349205113108768,High Risk
9048-JVYVF,3,69.35,191.35,Month-to-month,DSL,Electronic check,0.7410902918563143,High Risk
6358-LYNGM,1,74.9,74.9,Month-to-month,Fiber optic,Electronic check,0.8741514705993273,High Risk
8270-RKSAP,9,70.5,597.9,Month-to-month,Fiber optic,Electronic check,0.812504440916226,High Risk
6311-UEUME,29,78.9,2384.15,Month-to-month,Fiber optic,Electronic check,0.758555768539166,High Risk
1062-LHZOD,1,69.9,69.9,Month-to-month,Fiber optic,Mailed check,0.7706675878312031,High Risk
0432-CAJZV,3,90.7,237.65,Month-to-month,Fiber optic,Mailed check,0.8294026776991047,High Risk
6651-AZVTJ,49,99.8,4872.45,Month-to-month,Fiber optic,Electronic check,0.7279611287982308,High Risk
5348-CAGXB,12,89.55,1021.75,Month-to-month,Fiber optic,Electronic check,0.860016465155392,High Risk
5275-SQEIZ,1,80.85,80.85,Month-to-month,Fiber optic,Mailed check,0.8379948531819522,High Risk
2070-FNEXE,7,76.45,503.6,Month-to-month,Fiber optic,Bank transfer (automatic),0.7034975726516013,High Risk
3727-RJMEO,6,82.85,460.25,Month-to-month,Fiber optic,Electronic check,0.887585652013585,High Risk
3088-LHEFH,11,79.0,929.3,Month-to-month,Fiber optic,Bank transfer (automatic),0.7173082446967854,High Risk
6352-TWCAU,35,86.45,3029.1,Month-to-month,Fiber optic,Electronic check,0.7674437266305766,High Risk
9432-VOFYX,17,70.8,1207.0,Month-to-month,Fiber optic,Electronic check,0.7686673109149723,High Risk
3045-XETSH,10,94.85,953.45,Month-to-month,Fiber optic,Electronic check,0.8612228982865459,High Risk
8012-SOUDQ,43,90.25,3838.75,Month-to-month,Fiber optic,Electronic check,0.7528752942566309,High Risk
1304-BCCFO,9,70.05,564.4,Month-to-month,DSL,Mailed check,0.7068560941441187,High Risk
0324-BRPCJ,68,100.2,6851.65,Month-to-month,Fiber optic,Electronic check,0.7178205563502166,High Risk
